HEAD 239155240
128 1209600 11010010
148 57600 101001001000
152 57600 101001001001
153 1094400 10100101
226 1209600 10111111
10 2851200 001101
13 2851200 001110
32 40838400 111
33 316800 1101001101
40 201600 0011111101
41 201600 0011111110
44 3715200 100101
45 201600 0011111010
46 2102400 1010011
58 345600 001111100
59 892800 10010010
63 489600 101001000
65 1929600 1001101
66 144000 11010011000
67 460800 100100111
68 547200 101110000
69 1814400 1001100
70 201600 0011111111
71 720000 00110001
72 1008000 10100011
73 2160000 1011010
75 230400 1001001101
76 1440000 0011110
77 662400 110100111
78 1209600 10111110
79 1411200 0011001
80 576000 101110001
81 144000 10100100101
82 864000 10010000
83 864000 10010001
84 2332800 1011110
85 979200 10100010
87 691200 00110000
89 86400 110100110011
90 201600 0011111100
97 11520000 0100
98 2304000 1011101
99 3427200 011101
100 6278400 01011
101 20678400 000
102 3888000 100111
103 2448000 1101000
104 10742400 0010
105 8726400 10101
106 201600 0011111011
107 1152000 10111001
108 7171200 01111
109 4953600 110101
110 9849600 11001
111 14284800 1000
112 2246400 1011011
113 230400 1001001100
114 9475200 11000
115 10627200 11011
116 13564800 0110
117 6105600 01010
118 1958400 1010000
119 3369600 011100
120 259200 1010010011
121 4320000 101100
122 57600 110100110010
